repeat,shot,classifier,feature_set,training,accuracy,macro_f1,selected_parameters
4,3,svm,corrected,nested_tuned,0.6695652173913044,0.6332894223263076,"{""model__C"": 0.1, ""model__gamma"": 1.0}"
4,3,knn,corrected,fixed,0.7391304347826086,0.7517594914982796,
4,3,knn,corrected,nested_tuned,0.7391304347826086,0.7470326359562316,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
4,3,mlp,corrected,fixed,0.7739130434782608,0.7736326109391124,
4,3,mlp,corrected,nested_tuned,0.7739130434782608,0.7736326109391124,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
4,3,svm,optimized_action,fixed,0.7652173913043478,0.7672838009000996,
4,3,svm,optimized_action,nested_tuned,0.782608695652174,0.786839573681679,"{""model__C"": 5.0, ""model__gamma"": 0.01}"
4,3,knn,optimized_action,fixed,0.7217391304347827,0.7252429893558926,
4,3,knn,optimized_action,nested_tuned,0.7130434782608696,0.7121641255145749,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
4,3,mlp,optimized_action,fixed,0.7304347826086957,0.7168955394066393,
4,3,mlp,optimized_action,nested_tuned,0.7304347826086957,0.7168955394066393,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
4,3,svm,optimized_full,fixed,0.4782608695652174,0.4860165433694845,
4,3,svm,optimized_full,nested_tuned,0.5130434782608696,0.5179090299021274,"{""model__C"": 5.0, ""model__gamma"": 0.1}"
4,3,knn,optimized_full,fixed,0.40869565217391307,0.4124084085598864,
4,3,knn,optimized_full,nested_tuned,0.3652173913043478,0.3776215298038148,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
4,3,mlp,optimized_full,fixed,0.5391304347826087,0.5346832708553574,
4,3,mlp,optimized_full,nested_tuned,0.4782608695652174,0.47065562065562067,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
5,3,svm,raw,fixed,0.3652173913043478,0.36146784015447614,
5,3,svm,raw,nested_tuned,0.33043478260869563,0.3220847882335119,"{""model__C"": 0.1, ""model__gamma"": 1.0}"
5,3,knn,raw,fixed,0.3217391304347826,0.291632179839727,
5,3,knn,raw,nested_tuned,0.33043478260869563,0.3152989026443809,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
5,3,mlp,raw,fixed,0.391304347826087,0.38495010436186905,
5,3,mlp,raw,nested_tuned,0.3826086956521739,0.37650206117698376,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [128, 64]}"
5,3,svm,raw_pca11,fixed,0.5565217391304348,0.5622428111484199,
