sequence_id,frame_index,joint_index,joint_name,affected,automatic_confidence,oracle_confidence
0078bb88405b,25,6,middle_pip,1,0.7324767452207438,0.0
0078bb88405b,25,7,ring_mcp,1,0.7732868917500382,0.0
0078bb88405b,25,8,ring_pip,1,0.478632671858926,0.0
0078bb88405b,25,9,little_mcp,1,0.16516105539437012,0.0
0078bb88405b,25,10,little_pip,1,0.43582681365290404,0.0
0078bb88405b,26,0,thumb_cmc,1,0.027655981007903726,0.0
0078bb88405b,26,1,thumb_mcp,1,0.027901663855029978,0.0
0078bb88405b,26,2,thumb_ip,1,0.23105722670237944,0.0
0078bb88405b,26,3,index_mcp,1,0.34765218271975545,0.0
0078bb88405b,26,4,index_pip,1,0.13174284262422883,0.0
0078bb88405b,26,5,middle_mcp,1,0.3900943210434605,0.0
0078bb88405b,26,6,middle_pip,1,0.6105804713201263,0.0
0078bb88405b,26,7,ring_mcp,1,0.39822501204013705,0.0
0078bb88405b,26,8,ring_pip,1,0.7411665871146811,0.0
0078bb88405b,26,9,little_mcp,1,0.12232889533208641,0.0
0078bb88405b,26,10,little_pip,1,0.17259605136798675,0.0
0078bb88405b,27,0,thumb_cmc,1,0.012186471411150736,0.0
0078bb88405b,27,1,thumb_mcp,1,0.241671905700068,0.0
0078bb88405b,27,2,thumb_ip,1,0.22461854846104432,0.0
0078bb88405b,27,3,index_mcp,1,0.3571933313394437,0.0
0078bb88405b,27,4,index_pip,1,0.33281940379851355,0.0
0078bb88405b,27,5,middle_mcp,1,0.4921425158038392,0.0
0078bb88405b,27,6,middle_pip,1,0.563088180959142,0.0
0078bb88405b,27,7,ring_mcp,1,0.414201258541405,0.0
0078bb88405b,27,8,ring_pip,1,0.5375581050138238,0.0
0078bb88405b,27,9,little_mcp,1,0.08518934358692914,0.0
0078bb88405b,27,10,little_pip,1,0.28704769453583834,0.0
0078bb88405b,28,0,thumb_cmc,1,0.01668405389531638,0.0
0078bb88405b,28,1,thumb_mcp,1,0.11374684365201672,0.0
0078bb88405b,28,2,thumb_ip,1,0.14928815104551094,0.0
0078bb88405b,28,3,index_mcp,1,0.24510072724893384,0.0
0078bb88405b,28,4,index_pip,1,0.057607411548008004,0.0
0078bb88405b,28,5,middle_mcp,1,0.2963805971182784,0.0
0078bb88405b,28,6,middle_pip,1,0.40855010247409396,0.0
0078bb88405b,28,7,ring_mcp,1,0.35997781257626005,0.0
0078bb88405b,28,8,ring_pip,1,0.5669345134181109,0.0
0078bb88405b,28,9,little_mcp,1,0.04280929709778835,0.0
0078bb88405b,28,10,little_pip,1,0.13623027099877755,0.0
0078bb88405b,29,0,thumb_cmc,1,0.06636698378334377,0.0
0078bb88405b,29,1,thumb_mcp,1,0.19583631989299463,0.0
0078bb88405b,29,2,thumb_ip,1,0.31716639719457396,0.0
0078bb88405b,29,3,index_mcp,1,0.2645657662704634,0.0
0078bb88405b,29,4,index_pip,1,0.43802162278361184,0.0
0078bb88405b,29,5,middle_mcp,1,0.3798364619481992,0.0
0078bb88405b,29,6,middle_pip,1,0.6591411658123344,0.0
0078bb88405b,29,7,ring_mcp,1,0.40039657908664,0.0
0078bb88405b,29,8,ring_pip,1,0.5246573752296675,0.0
0078bb88405b,29,9,little_mcp,1,0.25814391935188213,0.0
0078bb88405b,29,10,little_pip,1,0.4407940600769861,0.0
0078bb88405b,30,0,thumb_cmc,1,0.6046302814350518,0.0
0078bb88405b,30,1,thumb_mcp,1,0.575659598477818,0.0
0078bb88405b,30,2,thumb_ip,1,0.2793938488640063,0.0
0078bb88405b,30,3,index_mcp,1,0.39306138638194954,0.0
0078bb88405b,30,4,index_pip,1,0.27441851876924883,0.0
0078bb88405b,30,5,middle_mcp,1,0.6500848930913955,0.0
0078bb88405b,30,6,middle_pip,1,0.7182297114674231,0.0
0078bb88405b,30,7,ring_mcp,1,0.2626852147532186,0.0
0078bb88405b,30,8,ring_pip,1,0.36784425652776925,0.0
0078bb88405b,30,9,little_mcp,1,0.4170177457677897,0.0
0078bb88405b,30,10,little_pip,1,0.43131904424128154,0.0
0078bb88405b,31,0,thumb_cmc,1,0.019750260879531453,0.0
0078bb88405b,31,1,thumb_mcp,1,0.36670947006262095,0.0
0078bb88405b,31,2,thumb_ip,1,0.22013001688582912,0.0
0078bb88405b,31,3,index_mcp,1,0.256344973962313,0.0
0078bb88405b,31,4,index_pip,1,0.46741991864049803,0.0
0078bb88405b,31,5,middle_mcp,1,0.443323809709418,0.0
0078bb88405b,31,6,middle_pip,1,0.48240405412214804,0.0
0078bb88405b,31,7,ring_mcp,1,0.29265251923339297,0.0
0078bb88405b,31,8,ring_pip,1,0.5421145330862942,0.0
0078bb88405b,31,9,little_mcp,1,0.4391718260398453,0.0
0078bb88405b,31,10,little_pip,1,0.28739719448470386,0.0
0078bb88405b,32,0,thumb_cmc,1,0.024230800147883907,0.0
0078bb88405b,32,1,thumb_mcp,1,0.1760111118001701,0.0
0078bb88405b,32,2,thumb_ip,1,0.6110402716975293,0.0
0078bb88405b,32,3,index_mcp,1,0.297739938424999,0.0
0078bb88405b,32,4,index_pip,1,0.0900317212295608,0.0
0078bb88405b,32,5,middle_mcp,1,0.2871668686943391,0.0
0078bb88405b,32,6,middle_pip,1,0.6810891718585206,0.0
0078bb88405b,32,7,ring_mcp,1,0.22045016038883822,0.0
0078bb88405b,32,8,ring_pip,1,0.5113130741647027,0.0
0078bb88405b,32,9,little_mcp,1,0.3493747703325702,0.0
0078bb88405b,32,10,little_pip,1,0.523161992494483,0.0
0078bb88405b,33,0,thumb_cmc,1,0.2729373706194499,0.0
0078bb88405b,33,1,thumb_mcp,1,0.06197537021873766,0.0
0078bb88405b,33,2,thumb_ip,1,0.07292287110921869,0.0
0078bb88405b,33,3,index_mcp,1,0.3556812549884242,0.0
0078bb88405b,33,4,index_pip,1,0.2549477098834319,0.0
0078bb88405b,33,5,middle_mcp,1,0.663681922211846,0.0
0078bb88405b,33,6,middle_pip,1,0.6251705150401913,0.0
0078bb88405b,33,7,ring_mcp,1,0.39352318346252113,0.0
0078bb88405b,33,8,ring_pip,1,0.5698271426133574,0.0
0078bb88405b,33,9,little_mcp,1,0.6657721647423819,0.0
0078bb88405b,33,10,little_pip,1,0.7058482126409692,0.0
010a5011bcfd,0,0,thumb_cmc,0,1.0,1.0
010a5011bcfd,0,1,thumb_mcp,0,1.0,1.0
010a5011bcfd,0,2,thumb_ip,0,1.0,1.0
010a5011bcfd,0,3,index_mcp,0,1.0,1.0
010a5011bcfd,0,4,index_pip,0,1.0,1.0
010a5011bcfd,0,5,middle_mcp,0,1.0,1.0
010a5011bcfd,0,6,middle_pip,0,1.0,1.0
010a5011bcfd,0,7,ring_mcp,0,1.0,1.0
010a5011bcfd,0,8,ring_pip,0,1.0,1.0
010a5011bcfd,0,9,little_mcp,0,1.0,1.0
010a5011bcfd,0,10,little_pip,0,1.0,1.0
010a5011bcfd,1,0,thumb_cmc,0,0.7054505179311374,1.0
010a5011bcfd,1,1,thumb_mcp,0,0.8880959007845332,1.0
010a5011bcfd,1,2,thumb_ip,0,0.7221701892451075,1.0
010a5011bcfd,1,3,index_mcp,0,0.7113131815264669,1.0
010a5011bcfd,1,4,index_pip,0,0.9138160362570948,1.0
010a5011bcfd,1,5,middle_mcp,0,0.7276273856416837,1.0
010a5011bcfd,1,6,middle_pip,0,0.8375889073253321,1.0
010a5011bcfd,1,7,ring_mcp,0,0.6517633061131483,1.0
010a5011bcfd,1,8,ring_pip,0,0.8051467159291502,1.0
010a5011bcfd,1,9,little_mcp,0,0.8314618376120887,1.0
010a5011bcfd,1,10,little_pip,0,0.6558878398680961,1.0
010a5011bcfd,2,0,thumb_cmc,0,0.4523126653155856,1.0
010a5011bcfd,2,1,thumb_mcp,0,0.3961838623563899,1.0
010a5011bcfd,2,2,thumb_ip,0,0.614287257526854,1.0
010a5011bcfd,2,3,index_mcp,0,0.8541234277776777,1.0
010a5011bcfd,2,4,index_pip,0,0.6878042862882767,1.0
010a5011bcfd,2,5,middle_mcp,0,0.7527394379119372,1.0
010a5011bcfd,2,6,middle_pip,0,0.8982646933664047,1.0
010a5011bcfd,2,7,ring_mcp,0,0.7303695322063338,1.0
010a5011bcfd,2,8,ring_pip,0,0.8662981207975393,1.0
010a5011bcfd,2,9,little_mcp,0,0.6462556743285001,1.0
010a5011bcfd,2,10,little_pip,0,0.5316710946161012,1.0
010a5011bcfd,3,0,thumb_cmc,0,0.6348199512066305,1.0
010a5011bcfd,3,1,thumb_mcp,0,0.5050908959184689,1.0
010a5011bcfd,3,2,thumb_ip,0,0.6859296116719799,1.0
010a5011bcfd,3,3,index_mcp,0,0.8811885730349779,1.0
010a5011bcfd,3,4,index_pip,0,0.8893947724238498,1.0
010a5011bcfd,3,5,middle_mcp,0,0.930928690778558,1.0
010a5011bcfd,3,6,middle_pip,0,0.9396860135896771,1.0
