repeat,index,actuator_name,semantic_role,finger_group,type,included_in_flex11,constant_on_analysis_partition,oa_discriminative_f_raw,oa_discriminative_scaled,oa_within_class_variability_raw,oa_within_class_penalty_scaled,oa_instability_raw,oa_instability_penalty_scaled,oa_redundancy_max_abs_correlation,refinement_sensitivity_penalty,utility_score,utility_rank
6,8,right_m-mcp_actuator,middle MCP flexion,middle,flexion,yes,no,27.89374471482852,0.36088923297972225,0.31780043530156593,0.8229066609493282,0.5689807543039439,0.5114437786527471,0.842654296218671,0.28232015060292504,-0.11587235501139863,12
6,9,right_m-pip_actuator,middle PIP flexion,middle,flexion,yes,no,486.49614819748626,0.8513945880643361,0.0925137953549583,0.13338503208304445,0.39037322296165244,0.08560320413246907,0.9349057188088148,0.056341908170126694,0.65224054517024,3
6,10,right_i-abd_actuator,index abduction,index,abduction,no,no,30.772525565425333,0.3773762417764581,0.23519606202682652,0.570084291964751,0.7465973841331872,0.93492182082941,0.40795367100940155,0.32337619171267606,-0.061828674788923274,11
6,11,right_i-mcp_actuator,index MCP flexion,index,flexion,yes,no,87.48463054234067,0.5551716172629483,0.24526750735299974,0.6009093750144449,0.4928682342896751,0.3299743915139317,0.7642287643062374,0.15801625935652566,0.20061264165713627,6
6,12,right_i-pip_actuator,index PIP flexion,index,flexion,yes,no,619.7097003373898,0.8933306114803192,0.07707519334800288,0.08613300681524748,0.41941235577958835,0.1548390359578452,0.7642287643062374,0.038209729346606894,0.7204637785370117,2
6,13,right_t-cmc_actuator,thumb opposition / CMC,thumb,opposition,yes,no,20.309531332915242,0.30803622161014604,0.30548780688361493,0.785222120026782,0.6627813485962752,0.7350855179657397,0.6993116380613965,0.36732125145854827,-0.19528134541768913,14
6,14,right_t-abd_actuator,thumb abduction,thumb,abduction,no,no,15.794019133966597,0.26669899250629486,0.330148854387615,0.8607007442742602,0.6322787801140717,0.6623605259724706,0.6993116380613965,0.45648364154543086,-0.2543175906977884,15
6,15,right_t-mcp_actuator,thumb MCP flexion,thumb,flexion,yes,no,164.12607819958438,0.6634709116335428,0.1689986546622871,0.3674777629511362,0.4976791039541516,0.3414445881314344,0.5961578983304137,0.13549322051441642,0.39356488544274737,4
6,16,right_t-pip_actuator,thumb IP flexion,thumb,flexion,yes,no,99.88842160021173,0.5779442241551787,0.20449201571820774,0.47611021507975626,0.6890299261979493,0.7976680377633821,0.5949292622144328,0.1605568568036748,0.18606014497984705,7
7,0,right_wrist_actuator,wrist,wrist,wrist,no,no,2.5222727753521896,0.0,0.2418871468211746,0.5417272747156096,0.46855589869804826,0.2543701875298542,0.41638663194035724,0.7320744563059473,-0.3585750194218189,17
7,1,right_p-abd_actuator,little abduction,little,abduction,no,no,36.73774115918236,0.4211630809602739,0.23828729279166924,0.5312667814668718,0.6428219613544328,0.6862253088558949,0.6782824755795793,0.3235562939334952,0.0008255083954158068,9
7,2,right_p-mcp_actuator,little MCP flexion,little,flexion,yes,no,16.375496417437567,0.28342472982125283,0.2877374817740155,0.6749596544997588,0.6511549198548683,0.706875518939003,0.5545381252805441,0.29367648753692766,-0.15392247951410826,14
7,3,right_p-pip_actuator,little PIP flexion,little,flexion,yes,no,119.78646362829767,0.6277642059733932,0.25479008898855915,0.5792207781533937,0.47667268667522655,0.27448469751091537,0.550045050583743,0.14955922415351447,0.3231214307222731,5
7,4,right_r-abd_actuator,ring abduction,ring,abduction,no,no,42.125827182944775,0.4448644163150695,0.2322847193352177,0.5138244411381747,0.7694391468100708,1.0,0.6782824755795794,0.22402825486001632,-0.01893830353541353,10
