repeat,seed,k,selected_indices_inner_train,classifier,num_train,num_validation,accuracy,macro_f1,kappa,combined_score
8,50,13,1;3;4;5;6;8;9;10;11;12;13;15;16,rf,18,92,0.782608695652174,0.7716434657364193,0.7398190045248868,0.7749330347111456
8,50,13,1;3;4;5;6;8;9;10;11;12;13;15;16,mlp,18,92,0.7391304347826086,0.7295387576064364,0.6876944837340876,0.732416260759288
9,51,5,3;6;9;12;15,svm,18,92,0.8913043478260869,0.8905461736384986,0.8696514593369227,0.8907736258947752
9,51,5,3;6;9;12;15,knn,18,92,0.8478260869565217,0.8417476472504936,0.8173567782189449,0.843571179162302
9,51,5,3;6;9;12;15,rf,18,92,0.8369565217391305,0.8297015484515485,0.8046985564675913,0.831878040437823
9,51,5,3;6;9;12;15,mlp,18,92,0.8369565217391305,0.8342278457545421,0.8045325779036827,0.8350464485499185
9,51,7,3;6;9;11;12;15;16,svm,18,92,0.9021739130434783,0.9013742120875046,0.8826863134032303,0.9016141223742966
9,51,7,3;6;9;11;12;15;16,knn,18,92,0.8478260869565217,0.8451363011634658,0.8170974155069582,0.8459432369013825
9,51,7,3;6;9;11;12;15;16,rf,18,92,0.8804347826086957,0.8764678919248813,0.8567383918459796,0.8776579591300255
9,51,7,3;6;9;11;12;15;16,mlp,18,92,0.8804347826086957,0.8781793930236373,0.8566166052706149,0.8788560098991548
9,51,9,1;3;5;6;9;11;12;15;16,svm,18,92,0.9239130434782609,0.9253968253968253,0.9088077032002265,0.924951690821256
9,51,9,1;3;5;6;9;11;12;15;16,knn,18,92,0.8478260869565217,0.8459768834388509,0.8173567782189449,0.8465316444941521
9,51,9,1;3;5;6;9;11;12;15;16,rf,18,92,0.8586956521739131,0.856043709874355,0.8306428773718493,0.8568392925642223
9,51,9,1;3;5;6;9;11;12;15;16,mlp,18,92,0.8804347826086957,0.8768606266302509,0.8567383918459796,0.8779328734237842
9,51,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.9021739130434783,0.9030240102913445,0.8827859569648924,0.9027689811169846
9,51,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.8260869565217391,0.8248101844706258,0.79126488939308,0.8251932160859597
